ADP,Player
216.00,Isaiah Bond
216.03,Jaylen Wright
216.42,MarShawn Lloyd
216.67,Rashod Bateman
216.83,Eli Raridon
217.00,Xavier Legette
217.00,Savion Williams
217.25,Justin Fields
218.00,Kyle Williams
218.11,Marvin Mims
218.53,Jaydon Blue
219.00,Nick Chubb
219.21,Jack Bech
219.50,Emari Demercado
219.67,Justin Joly
219.80,Noah Gray
219.89,Chris Brazzell
220.00,Jalen Milroe
220.26,Skyler Bell
220.50,Max Klare
220.50,Tutu Atwell
220.75,Zavion Thomas
220.80,Emanuel Wilson
221.00,Elijah Arroyo
221.00,Erick All
221.26,Michael Mayer
221.33,Najee Harris
221.63,Keenan Allen
221.63,Carson Beck
222.00,Mack Hollins
222.60,Adam Randall
223.60,Eli Heidenreich
224.00,LeQuint Allen
224.22,Kaleb Johnson
224.43,Kaelon Black
224.50,Jahan Dotson
224.60,Anthony Richardson
225.55,Jalen Tolbert
225.62,Devaughn Vele
227.00,Devin Neal
227.11,Justice Hill
228.06,Andrei Iosivas
228.50,Treylon Burks
228.50,Ja'Tavion Sanders
228.75,Jameis Winston
228.83,Darren Waller
229.00,Tyson Bagent
229.00,Audric Estime
229.00,Josh Whyle
229.00,Jeff Caldwell
229.50,Marcus Mariota
229.67,Malik Benson
229.71,Joe Mixon
230.00,Tahj Brooks
230.00,Bryce Lance
230.50,Malik Davis
231.00,Tyler Huntley
231.00,Will Kacmarek
231.00,Luke Musgrave
231.50,Ollie Gordon
232.00,Jalen Royals
232.50,Cole Kmet
232.50,Michael Trigg
233.00,Greg Dortch
233.00,Antonio Brown
233.67,DJ Giddens
234.00,Kevin Coleman
234.00,Olamide Zaccheaus
234.00,Jalin Hyatt
234.60,Darius Slayton
235.00,Quinn Ewers
235.00,Tyler Higbee
235.00,Brashard Smith
235.20,Caleb Douglas
236.00,Daniel Bellinger
236.00,Tom Brady
236.33,DeMario Douglas
237.00,Dont'e Thornton
238.00,Marquise Brown
238.00,Noah Fant
238.50,Samaje Perine
239.00,Jarquez Hunter
239.00,Joe Milton
240.00,Lucas Krull
